         i         lr    lrdecay          p         wd   accuracy
       359       -5.0        0.4        0.0        1.0       0.20
       360       -2.0        0.4        0.8        0.2       0.35
       361       -1.0        0.4        0.6        0.7       0.09
       362       -1.0        0.6        0.3        0.3       0.10
       363        0.0        0.4        0.5        0.9       0.39
       364       -4.0        0.2        0.4        0.6       0.03
       365       -5.0        0.6        0.3        0.6       0.02
       366       -5.0        1.0        0.0        0.6       0.49
       367       -5.0        0.7        0.0        0.6       0.05
       368       -4.0        0.8        0.9        0.9       0.17
       369        0.0        0.5        0.5        0.5       0.36
       370        0.0        0.4        0.8        0.2       0.43
       371       -4.0        0.5        0.5        0.5       0.00
       372       -1.0        1.0        0.6        0.5       0.40
       373       -1.0        0.7        0.1        0.7       0.00
       374        0.0        0.1        0.4        0.3       0.43
       375       -5.0        0.9        0.8        0.1       0.16
       376       -4.0        0.1        0.1        0.1       0.12
       377        0.0        0.9        1.0        0.1       0.11
       378       -4.0        1.0        0.8        0.4       0.48
       379       -3.0        0.9        0.6        0.0       0.02
       380       -3.0        0.1        0.1        1.0       0.18
       381       -1.0        0.1        0.8        0.6       0.12
       382        0.0        0.2        0.6        0.6       0.43
       383       -5.0        0.8        0.1        0.0       0.01
       384        0.0        0.2        0.5        0.7       0.43
       385       -1.0        0.7        0.0        0.4       0.22
       386       -3.0        0.5        0.9        0.2       0.03
       387       -3.0        0.4        0.3        0.6       0.01
       388       -2.0        0.9        0.3        0.5       0.27
       389       -4.0        0.6        0.3        0.6       0.19
       390       -5.0        0.2        0.4        1.0       0.12
       391       -3.0        0.1        0.3        0.4       0.08
       392       -2.0        0.4        0.5        0.4       0.14
       393       -4.0        1.0        0.3        0.7       0.44
       394       -4.0        0.4        1.0        0.3       0.46
       395        0.0        1.0        0.3        1.0       0.43
       396       -4.0        0.1        0.6        0.0       0.01
       397       -3.0        0.8        0.4        1.0       0.07
       398       -4.0        0.9        0.9        0.9       0.08
       399       -1.0        0.5        0.9        0.4       0.40
       400       -3.0        0.5        0.4        0.8       0.05
       401       -1.0        0.7        0.5        0.7       0.39
       402       -2.0        0.3        0.1        0.9       0.01
       403       -1.0        0.9        0.5        0.2       0.20
       404       -5.0        0.8        0.4        0.4       0.02
       405        0.0        0.9        0.4        0.7       0.43
       406       -2.0        0.6        0.2        0.9       0.03
       407       -4.0        0.5        0.4        0.0       0.31
       408       -3.0        0.4        0.8        0.6       0.25
       409        0.0        0.6        0.5        0.5       0.40
       410       -4.0        0.9        0.6        0.7       0.19
       411       -4.0        0.0        0.9        0.9       0.05
       412       -1.0        0.2        0.9        0.3       0.12
       413        0.0        0.3        0.6        0.7       0.43
       414        0.0        0.3        0.6        0.2       0.43
       415       -1.0        0.0        0.9        0.3       0.02
       416       -4.0        0.7        0.6        0.3       0.26
       417       -1.0        1.0        0.1        0.6       0.43
       418       -5.0        0.9        0.6        0.5       0.28
       419       -2.0        0.9        0.6        0.5       0.29
       420       -4.0        1.0        0.2        0.3       0.43
       421       -1.0        0.9        0.9        0.5       0.43
       422       -2.0        0.2        0.9        0.4       0.16
       423       -5.0        0.2        0.9        0.4       0.04
       424       -4.0        0.6        0.8        1.0       0.38
       425       -5.0        0.2        0.5        0.7       0.03
       426       -3.0        0.7        0.0        0.9       0.01
       427        0.0        0.4        0.2        0.6       0.43
       428        0.0        1.0        0.7        0.0       0.55
       429       -4.0        0.7        0.8        0.5       0.07
       430        0.0        0.1        0.7        0.2       0.12
       431       -4.0        0.7        0.3        0.7       0.01
       432       -4.0        0.7        0.2        0.6       0.00
       433       -3.0        0.5        0.6        0.8       0.02
       434        0.0        0.1        0.0        0.4       0.40
       435       -1.0        0.5        0.9        0.4       0.40
       436       -3.0        0.9        0.3        0.6       0.05
       437       -2.0        0.4        0.7        1.0       0.05
